"group","(Intercept)","conditionnp","conditionpp","conditionvp","cor__(Intercept).conditionnp","cor__(Intercept).conditionpp","cor__(Intercept).conditionvp","cor__conditionnp.conditionpp","cor__conditionnp.conditionvp","cor__conditionpp.conditionvp","sd__(Intercept)","sd__conditionnp","sd__conditionpp","sd__conditionvp","seed","n.participants"
"workerid",NA,NA,NA,NA,-0.0911990475352043,-0.447498641649664,-0.546631152165132,-0.0342495466901292,-0.207629145444415,-0.0987592062610967,0.281172648050251,0.149113398744886,0.0381851192899469,0.381096428380244,16,200
NA,0.106148681390312,0.278312824985173,0.0500922204815218,0.0916530910836562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,200
"predicate_1",NA,NA,NA,NA,-0.166979821082175,-0.824864481284486,-0.792198646069497,-0.741904894344403,-0.755239891434668,-0.883212299728769,0.0383420562629157,0.0882950768150994,0.0169431871967761,0.181229138262664,17,200
"workerid",NA,NA,NA,NA,0.211015208259887,-0.579032607525781,-0.614110838104303,-0.286024197336193,-0.477666065174424,-0.597759771157872,0.267106734423318,0.388557198387166,0.0121278917011487,0.400469630538676,17,200
NA,0.0722867934129505,0.0652652381829039,0.0592040791658232,0.0220581748012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,200
"predicate_1",NA,NA,NA,NA,-0.487922497481977,-0.62905695970948,-0.884058784128804,-0.498635565753509,-0.799861853647599,-0.818206694165146,0.037452740148241,0.0132156985991253,0.0191773249289259,0.00138626198638152,18,200
"workerid",NA,NA,NA,NA,0.460638428287036,-0.830842953091319,-0.618599448009412,-0.799632122348933,-0.579616457856995,-0.819301555074987,0.277369299470293,0.2289101939595,0.00330368791114262,0.31141983089905,18,200
NA,0.155293761689472,0.18679506951406,8.10921058692612e-05,0.0210969759341374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,200
"predicate_1",NA,NA,NA,NA,-0.102806291892416,-0.826087023981682,-0.691516759711669,-0.7799077660903,-0.716655759097251,-0.859706972524435,0.0922818110171557,0.122495468104081,0.00665993176593453,0.0173298447684549,19,200
"workerid",NA,NA,NA,NA,-0.124197059699062,-0.526460663515971,-0.412121755181604,-0.794110585835664,-0.580825570458258,-0.802219062771362,0.329265819368592,0.290470403398774,0.00707523616054589,0.414485579448652,19,200
NA,0.105759917000401,0.157303562482552,0.0782891416314702,0.010094208839068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,200
"predicate_1",NA,NA,NA,NA,-0.306004555324891,-0.769526081792282,-0.809720676461567,-0.73595857777381,-0.760449504863733,-0.865606469993573,0.0763242691613318,0.0952224625613704,0.0061696354535589,0.0601325588615489,20,200
"workerid",NA,NA,NA,NA,0.152713106297666,-0.793910971785801,-0.503725571727886,-0.867676329216492,-0.831468373190658,-0.36929998627433,0.263905353310447,0.198163296330468,0.0180522938403286,0.374969425509929,20,200
NA,0.0913743720341602,0.0977097916742412,-0.00645974466389334,-0.0159146888068444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,200
"predicate_1",NA,NA,NA,NA,-0.655236362123581,-0.971240578916254,-0.84210626013527,-0.218191555931878,-0.547100537922702,-0.477919505399225,0.180010225732964,0.166671662599839,0.242349011664249,0.0338362619949003,704,200
"workerid",NA,NA,NA,NA,0.340645033975076,-0.515096891962354,-0.517123088032041,-0.470735093537285,-0.420945734299813,-0.666272760155506,0.270495463603153,0.234698651791504,0.00556943660219715,0.266838592198126,704,200
NA,0.185146489719033,-0.0484794280410697,-0.265234841196982,-0.212687850386745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,704,200
"predicate_1",NA,NA,NA,NA,-0.77362162092697,-0.959712379125184,-0.796618590923173,-0.304744001367444,-0.75861551343875,-0.781639876743515,0.0655349307522154,0.186461451641293,0.0988860181276276,0.004139882949936,901,200
"workerid",NA,NA,NA,NA,0.0436953301522773,-0.561235224331675,-0.469201447499276,-0.661797025425015,-0.673266848181084,-0.606022125686245,0.229270294234807,0.277711332930001,0.00675886547608769,0.304932743648497,901,200
NA,0.144263818703781,-0.0606466715623907,-0.0786101689790017,-0.0204603730092659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,901,200
"predicate_1",NA,NA,NA,NA,-0.415790555439179,-0.841573803032032,-0.628394491954532,-0.746863383922623,-0.820063947804069,-0.814140509025882,0.020793290012846,0.0854660555775471,0.00183805099018312,0.227298141811076,21,200
"workerid",NA,NA,NA,NA,0.202802008577845,-0.640491328732109,-0.533376202041721,-0.560927674883849,-0.769120947327063,-0.861003627495714,0.372944371086442,0.227662842670207,0.137230178462416,0.422774266864777,21,200
NA,0.204468523871038,0.0990683243611004,-0.0365444762633163,-0.0520053606800509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,200
"predicate_1",NA,NA,NA,NA,-0.289747756332869,-0.728343009309474,-0.880409263220009,-0.625058956363238,-0.823470222261285,-0.870792344901574,0.0259063541973822,0.130963719811714,0.00627251424962003,0.130709167669778,705,200
"workerid",NA,NA,NA,NA,0.102138977315171,-0.737758153920585,-0.648691359055974,-0.774730843864164,-0.911307760937695,-0.700611422679111,0.39375331723025,0.104629105811765,0.00356202771209963,0.428791924156002,705,200
NA,0.208445645540056,0.0783756251055128,-0.00967435263831768,-0.119133872905619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,705,200
"predicate_1",NA,NA,NA,NA,0.0614534168199354,-0.627524121189188,-0.913371998902732,-0.658094661225515,-0.84021638530773,-0.806490424844749,0.0793865613754827,0.189897589698539,0.00536109204579414,0.00363250731450597,902,200
"workerid",NA,NA,NA,NA,0.314077486969367,-0.80891100575244,-0.811873438065007,-0.805781546780832,-0.877414394826125,-0.655413184572692,0.301810691327831,0.249696603033145,0.00341922094077621,0.30847803136284,902,200
NA,0.205736348944826,-0.0561277950639067,-0.0595620504483428,-0.0390820291565669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,902,200
"predicate_1",NA,NA,NA,NA,-0.287157027292583,-0.746117047665278,-0.766594757773383,-0.716378163613771,-0.781805329365238,-0.769735385019669,0.0901131052546825,0.115786468812885,0.00247826208339747,0.00737161745473424,22,200
"workerid",NA,NA,NA,NA,0.0706204917088021,-0.651570770577392,-0.458862562252144,-0.300319765517641,-0.861521541298635,-0.907932532652426,0.279050488628785,0.356516547703753,0.0174030805625778,0.353035605942642,22,200
NA,0.133016860927651,0.0973682852739186,0.00918181254764068,-0.00522981505377931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,200
"predicate_1",NA,NA,NA,NA,-0.333400493431396,-0.525527402889753,-0.561221045167799,-0.467886969692452,-0.483767330974011,-0.867828595129689,0.0697337439789041,0.0342658013501587,0.0480293609207276,0.10417374772735,706,200
"workerid",NA,NA,NA,NA,0.223489303278071,-0.176740932598579,-0.613402998057984,0.150085374701206,-0.493209585743301,-0.426055897144539,0.175425710227134,0.348619617197298,0.0891540431763408,0.211584761248884,706,200
NA,0.0902052188271752,0.0209996296092728,-0.110641734991573,-0.150082524481298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,706,200
"predicate_1",NA,NA,NA,NA,-0.621368079724285,-0.799736870532842,-0.793863807591443,-0.0115895106324649,-0.848599635095927,-0.867173101789207,0.136433210217293,0.146831629654578,0.126290224640768,0.00377252362248015,903,200
"workerid",NA,NA,NA,NA,0.189223856613686,-0.676721857563935,-0.537422404237531,-0.648906148530567,-0.874009170245591,-0.657116082614047,0.321496746785413,0.348784022433345,0.00405133883813521,0.411695057658434,903,200
NA,0.0858746402251722,-0.0221167317353778,-0.102695627776505,-0.109755784820965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,903,200
"predicate_1",NA,NA,NA,NA,-0.561666575598245,-0.883597457006719,-0.781778234427902,-0.836794951731331,-0.408323698802686,-0.828746912292983,0.0459017376298768,0.127507050796233,0.00313105614168753,0.017584767046976,23,200
"workerid",NA,NA,NA,NA,0.203991243868391,-0.706197831281356,-0.495639152448875,-0.740056606372814,-0.568185106713816,-0.736912337623616,0.32369434167188,0.20710831408573,0.00362359558119418,0.367522284134396,23,200
NA,0.127813381491056,0.0844758183874595,0.00132517432791215,-0.0559105967234951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,200
"predicate_1",NA,NA,NA,NA,-0.347464801920346,-0.565859064290878,-0.814984034067256,-0.79780223637953,-0.462439684342091,-0.954484458661942,0.0658849732036127,0.0670924466802095,0.0691449194709282,0.1376866597523,707,200
"workerid",NA,NA,NA,NA,-0.0316634411546137,-0.731343825886301,-0.604087269570424,-0.835616271093847,-0.106244980618903,-0.829317348428824,0.320428510716129,0.202598894795944,0.00266957149951665,0.510849936615282,707,200
NA,0.0905894489796347,0.0221967448735803,0.0043093052838579,0.0791878576370842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,707,200
"predicate_1",NA,NA,NA,NA,-0.18046592156528,-0.738333067726125,-0.860307840677964,-0.740230658400148,-0.807053262167377,-0.748782659250349,0.0918125194081381,0.0345826408202218,0.018938567236841,0.00692421757619729,904,200
"workerid",NA,NA,NA,NA,0.359280881864396,-0.0432222679890542,-0.573531373975127,-0.0522096171395229,-0.405086435704538,-0.554927263075355,0.275716682956426,0.410832298865244,0.0507917801024424,0.40620662410805,904,200
NA,0.122967597377849,0.169541312638655,-0.0360829385885937,-0.0262167121413078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,904,200
"predicate_1",NA,NA,NA,NA,-0.269355726375217,-0.76533472831131,-0.737504727564566,-0.3848142955258,-0.742465464125716,-0.658640131604283,0.0516475260703713,0.0802694694631282,0.13941038470664,0.0077235785458741,601,200
"workerid",NA,NA,NA,NA,-0.107149037025329,-0.66679001449042,-0.233741505946882,-0.688765431019237,-0.756915221129343,-0.822552117445991,0.249228674855533,0.318698813836205,0.00508460945588537,0.31435278419253,601,200
NA,0.245863177386664,-0.0111871847664987,-0.134966681211908,-0.308185124103256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,601,200
"predicate_1",NA,NA,NA,NA,-0.834685803358768,-0.811653210395958,-0.868288832874366,-0.624721458682437,-0.737544685380241,-0.891208881407053,0.00218424820136545,0.202870232750162,0.00342306640239227,0.140275414269409,801,200
"workerid",NA,NA,NA,NA,0.300805681358885,-0.826685662329295,-0.446552579794306,-0.74164731000986,-0.862398979902506,-0.809534000577932,0.341014882087135,0.148372834733788,0.00426987360944625,0.476834232311824,801,200
NA,0.266854105038772,0.00611236726943955,-0.122038521631696,-0.15468223228675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,200
